ID,Record type,Data owner,Latitude,Longitude,Common name,Scientific name,Total individuals,Year observed
221,Sighting,DPIPWE,-41.01,146.49,Unidentified dolphin,Unidentified dolphin,1,1994
222,Sighting,DPIPWE,-43.22,147.83,Unidentified dolphin,Unidentified dolphin,1,1994
223,Sighting,DPIPWE,-40.6,144.94,Unidentified dolphin,Unidentified dolphin,1,1994
224,Sighting,DPIPWE,-40.07,144.11,Unidentified dolphin,Unidentified dolphin,1,1994
225,Sighting,DPIPWE,-40.6,144.94,Unidentified dolphin,Unidentified dolphin,1,1993
226,Sighting,DPIPWE,-43.11,147.72,Common dolphin - Short-beaked,Delphinus delphis,1,2001
227,Sighting,DPIPWE,-41.4,148.33,Common dolphin - Short-beaked,Delphinus delphis,1,2001
228,Sighting,DPIPWE,-40.45,144.82,Common dolphin - Short-beaked,Delphinus delphis,1,2001
229,Sighting,DPIPWE,-40.5,144.75,Common dolphin - Short-beaked,Delphinus delphis,1,2001
230,Sighting,DPIPWE,-43.13,147.5,Common dolphin - Short-beaked,Delphinus delphis,1,2001
231,Sighting,DPIPWE,-43.57,148.15,Common dolphin - Short-beaked,Delphinus delphis,1,2001
232,Sighting,DPIPWE,-43.32,148.22,Common dolphin - Short-beaked,Delphinus delphis,1,2001
233,Sighting,DPIPWE,-40.45,144.82,Common dolphin - Short-beaked,Delphinus delphis,1,2001
234,Sighting,DPIPWE,-43.46,147.21,Common dolphin - Short-beaked,Delphinus delphis,1,2001
235,Sighting,DPIPWE,-42.07,148.22,Common dolphin - Short-beaked,Delphinus delphis,1,2001
236,Sighting,DPIPWE,-40.98,146.16,Common dolphin - Short-beaked,Delphinus delphis,1,2001
237,Sighting,DPIPWE,-41.02,145.9,Common dolphin - Short-beaked,Delphinus delphis,1,2001
238,Sighting,DPIPWE,-41.03,145.86,Common dolphin - Short-beaked,Delphinus delphis,1,2001
239,Sighting,DPIPWE,-40.81,145.57,Common dolphin - Short-beaked,Delphinus delphis,1,2001
240,Sighting,DPIPWE,-40.99,148.35,Common dolphin - Short-beaked,Delphinus delphis,1,2001
241,Sighting,DPIPWE,-43.43,148.27,Common dolphin - Short-beaked,Delphinus delphis,1,2000
242,Sighting,DPIPWE,-43.4,148.2,Common dolphin - Short-beaked,Delphinus delphis,1,2000
243,Sighting,DPIPWE,-43.43,148.22,Common dolphin - Short-beaked,Delphinus delphis,1,2000
244,Sighting,DPIPWE,-41.16,146.92,Common dolphin - Short-beaked,Delphinus delphis,1,1999
245,Sighting,DPIPWE,-43.03,147.98,Common dolphin - Short-beaked,Delphinus delphis,1,1999
246,Sighting,DPIPWE,-42.16,148.35,Common dolphin - Short-beaked,Delphinus delphis,1,1999
247,Sighting,DPIPWE,-41,146.83,Common dolphin - Short-beaked,Delphinus delphis,1,1999
248,Sighting,DPIPWE,-40.91,145.64,Common dolphin - Short-beaked,Delphinus delphis,1,1999
249,Sighting,DPIPWE,-40.92,145.73,Common dolphin - Short-beaked,Delphinus delphis,1,1999
250,Sighting,DPIPWE,-41.02,145.9,Common dolphin - Short-beaked,Delphinus delphis,1,1999
251,Stranding,AMMC,-42.98333,147.68333,Common dolphin - Short-beaked,Delphinus delphis,1,1994
252,Stranding,AMMC,-43.28333,147.15,Bottlenose dolphin - Common,Tursiops truncatus,1,1994
253,Stranding,AMMC,-41.76667,148.28333,Common dolphin - Short-beaked,Delphinus delphis,2,1994
254,Stranding,AMMC,-43.05,147.86667,Bottlenose dolphin - Common,Tursiops truncatus,2,1989
255,Stranding,AMMC,-42.3,148,Bottlenose dolphin - Common,Tursiops truncatus,1,1989
256,Stranding,AMMC,-41.05,145.86667,Bottlenose dolphin - Common,Tursiops truncatus,1,1989
257,Stranding,AMMC,-40.78333,145.06667,Bottlenose dolphin - Common,Tursiops truncatus,1,1989
258,Stranding,AMMC,-42.11667,148.28333,Bottlenose dolphin - Common,Tursiops truncatus,1,1989
259,Stranding,AMMC,-41.15,146.23333,Bottlenose dolphin - Common,Tursiops truncatus,1,1989
260,Stranding,AMMC,-41.4,148.28333,Bottlenose dolphin - Common,Tursiops truncatus,1,1989
261,Stranding,AMMC,-42.91667,147.45,Bottlenose dolphin - Common,Tursiops truncatus,1,1989
262,Stranding,AMMC,-43.03333,147.45,Bottlenose dolphin - Common,Tursiops truncatus,15,1989
263,Stranding,AMMC,-39.91667,148.16667,Unidentified dolphin,Unidentified dolphin,1,-
264,Stranding,AMMC,-42.68333,148.08333,Bottlenose dolphin - Common,Tursiops truncatus,14,1985
265,Stranding,AMMC,-43.01667,147.91667,Bottlenose dolphin - Common,Tursiops truncatus,1,1986
266,Stranding,AMMC,-42.13333,148.3,Bottlenose dolphin - Common,Tursiops truncatus,1,1987
267,Stranding,AMMC,-40.9,144.68333,Bottlenose dolphin - Common,Tursiops truncatus,3,1988
